sentence	question_type	time	location	temp_comp_flag
What's the weather like in Paris next hour	3	next hour	Paris	0
Might it rain in Berlin 	0	N/A	Berlin	0
will it snow  next week	1	next week	N/A	0
is it hotter in Rome April 1st	2	April 1st	Rome	2
is it going to snow in London 	1	N/A	London	0
How's the climate in London 	3	N/A	London	0
will it rain in Moscow tomorrow	0	tomorrow	Moscow	0
will it snow in Hong Kong tomorrow	1	tomorrow	Hong Kong	0
will it be warmer in Dubai next week	2	next week	Dubai	2
do you like the weather today	5	N/A	N/A	0
will it rain in Berlin 	0	N/A	Berlin	0
will it rain in Dubai 	0	N/A	Dubai	0
What's the weather like in Los Angeles tomorrow	3	tomorrow	Los Angeles	0
is rain expected in Dubai next week	0	next week	Dubai	0
is it hotter in New York next week	2	next week	New York	2
Can you give me the weather conditions  now	3	now	N/A	0
how is the weather in Chicago 	3	N/A	Chicago	0
What's the weather like in Tokyo now	3	now	Tokyo	0
is it colder in Moscow next hour	2	next hour	Moscow	1
Might it rain in New York next week	0	next week	New York	0
is it colder in Miami 	2	N/A	Miami	1
is rain expected in Hong Kong now	0	now	Hong Kong	0
Hi Simpson	4	N/A	N/A	0
Might it rain in Seoul now	0	now	Seoul	0
will it be warmer in Los Angeles tomorrow	2	tomorrow	Los Angeles	2
How's the climate in Boston next hour	3	next hour	Boston	0
it's so hot right now	5	N/A	N/A	0
is it going to snow in New York April 1st	1	April 1st	New York	0
is it colder in Paris next hour	2	next hour	Paris	1
will it rain in Sydney April 1st	0	April 1st	Sydney	0
is snow expected in Chicago tomorrow	1	tomorrow	Chicago	0
tell me about the weather in Sydney next hour	3	next hour	Sydney	0
will it be warmer in Seoul 	2	N/A	Seoul	2
What's the weather like in Sydney next week	3	next week	Sydney	0
is it colder in Los Angeles tomorrow	2	tomorrow	Los Angeles	1
How's the climate in Sydney April 1st	3	April 1st	Sydney	0
is it colder in Seoul 	2	N/A	Seoul	1
is rain expected in Rome now	0	now	Rome	0
is snow expected in Hong Kong tomorrow	1	tomorrow	Hong Kong	0
will it be warmer in Sydney next week	2	next week	Sydney	2
is it gonna rain in Seoul next hour	0	next hour	Seoul	0
will it be warmer in New York April 1st	2	April 1st	New York	2
Can you give me the weather conditions in Toronto now	3	now	Toronto	0
tell me about the weather in Madrid tomorrow	3	tomorrow	Madrid	0
will it be warmer in Dubai 	2	N/A	Dubai	2
Might it snow in Los Angeles April 1st	1	April 1st	Los Angeles	0
is rain expected in Toronto next week	0	next week	Toronto	0
tell me about the weather in Rome next hour	3	next hour	Rome	0
is snow expected in Rome now	1	now	Rome	0
is it colder in Toronto 	2	N/A	Toronto	1
Might it snow in Miami tomorrow	1	tomorrow	Miami	0
how are you	5	N/A	N/A	0
What's the weather like in Sydney 	3	N/A	Sydney	0
is rain expected in Berlin April 1st	0	April 1st	Berlin	0
is snow expected in New York next week	1	next week	New York	0
Might it rain in Dubai tomorrow	0	tomorrow	Dubai	0
is snow expected in Paris next hour	1	next hour	Paris	0
will it snow in New York next week	1	next week	New York	0
is rain expected  now	0	now	N/A	0
will it be warmer in Hong Kong now	2	now	Hong Kong	2
How's the climate in Rome April 1st	3	April 1st	Rome	0
will it be warmer in Dubai 	2	N/A	Dubai	1
tell me about the weather in Berlin now	3	now	Berlin	0
Can you give me the weather conditions  April 1st	3	April 1st	N/A	0
will it snow  April 1st	1	April 1st	N/A	0
is it colder in Chicago April 1st	2	April 1st	Chicago	1
is rain expected in Dubai April 1st	0	April 1st	Dubai	0
is it colder in London now	2	now	London	1
how is the weather in Miami 	3	N/A	Miami	0
will it snow in Moscow tomorrow	1	tomorrow	Moscow	0
how is the weather in Los Angeles next week	3	next week	Los Angeles	0
is it hotter in Toronto 	2	N/A	Toronto	2
tell me about the weather in Boston next week	3	next week	Boston	0
how is the weather in Tokyo April 1st	3	April 1st	Tokyo	0
do you prefer mac or linux	5	N/A	N/A	0
is rain expected in Madrid April 1st	0	April 1st	Madrid	0
will it be warmer in Hong Kong now	2	now	Hong Kong	1
what time is it	5	N/A	N/A	0
is it colder in Chicago April 1st	2	April 1st	Chicago	1
Hey Simpson	4	N/A	N/A	0
will it rain in Toronto next hour	0	next hour	Toronto	0
it is warm outside	5	N/A	N/A	0
is snow expected in Dubai tomorrow	1	tomorrow	Dubai	0
is it gonna rain in Miami now	0	now	Miami	0
Do you think it will snow in Hong Kong next week	1	next week	Hong Kong	0
is it going to snow in Chicago April 1st	1	April 1st	Chicago	0
is rain expected in Los Angeles April 1st	0	April 1st	Los Angeles	0
will it be warmer in Sydney next week	2	next week	Sydney	1
Can you give me the weather conditions in Hong Kong next week	3	next week	Hong Kong	0
is it gonna rain in Boston next week	0	next week	Boston	0
is it gonna rain in Chicago next hour	0	next hour	Chicago	0
is snow expected in Tokyo April 1st	1	April 1st	Tokyo	0
is it hotter in Chicago April 1st	2	April 1st	Chicago	2
is snow expected in Dubai April 1st	1	April 1st	Dubai	0
